Gas_age	d13CO2	d13CO2_stdev
25.000	-6.42	0.04
25.100	-6.41	0.04
25.200	-6.41	0.04
25.300	-6.41	0.04
25.400	-6.41	0.04
25.500	-6.40	0.04
25.600	-6.40	0.04
25.700	-6.40	0.04
25.800	-6.40	0.04
25.900	-6.40	0.04
26.000	-6.40	0.04
26.100	-6.39	0.04
26.200	-6.39	0.04
26.300	-6.39	0.04
26.400	-6.39	0.04
26.500	-6.39	0.04
26.600	-6.39	0.04
26.700	-6.39	0.04
26.800	-6.39	0.04
26.900	-6.39	0.04
27.000	-6.39	0.04
27.100	-6.39	0.04
27.200	-6.39	0.04
27.300	-6.39	0.04
27.400	-6.39	0.04
27.500	-6.39	0.04
27.600	-6.39	0.04
27.700	-6.39	0.04
27.800	-6.39	0.04
27.900	-6.39	0.04
28.000	-6.39	0.04
28.100	-6.39	0.04
28.200	-6.39	0.04
28.300	-6.39	0.05
28.400	-6.39	0.05
28.500	-6.39	0.05
28.600	-6.39	0.05
28.700	-6.39	0.05
28.800	-6.39	0.05
28.900	-6.39	0.05
29.000	-6.39	0.05
29.100	-6.40	0.06
29.200	-6.40	0.06
29.300	-6.40	0.06
29.400	-6.40	0.06
29.500	-6.40	0.06
29.600	-6.40	0.06
29.700	-6.40	0.06
29.800	-6.40	0.06
29.900	-6.40	0.06
30.000	-6.40	0.06
30.100	-6.40	0.06
30.200	-6.41	0.06
30.300	-6.41	0.06
30.400	-6.41	0.06
30.500	-6.41	0.06
30.600	-6.41	0.06
30.700	-6.41	0.06
30.800	-6.41	0.06
30.900	-6.41	0.06
31.000	-6.41	0.06
31.100	-6.41	0.06
31.200	-6.42	0.06
31.300	-6.42	0.05
31.400	-6.42	0.05
31.500	-6.42	0.05
31.600	-6.42	0.05
31.700	-6.42	0.05
31.800	-6.42	0.05
31.900	-6.42	0.05
32.000	-6.43	0.05
32.100	-6.43	0.05
32.200	-6.43	0.05
32.300	-6.43	0.05
32.400	-6.43	0.05
32.500	-6.44	0.05
32.600	-6.44	0.05
32.700	-6.44	0.06
32.800	-6.44	0.06
32.900	-6.44	0.06
33.000	-6.45	0.06
33.100	-6.45	0.06
33.200	-6.45	0.06
33.300	-6.46	0.06
33.400	-6.46	0.06
33.500	-6.46	0.06
33.600	-6.47	0.06
33.700	-6.47	0.06
33.800	-6.47	0.06
33.900	-6.48	0.06
34.000	-6.48	0.06
34.100	-6.49	0.06
34.200	-6.49	0.06
34.300	-6.49	0.05
34.400	-6.50	0.05
34.500	-6.50	0.05
34.600	-6.51	0.05
34.700	-6.52	0.05
34.800	-6.52	0.05
34.900	-6.53	0.04
35.000	-6.53	0.04
35.100	-6.54	0.04
35.200	-6.54	0.04
35.300	-6.55	0.04
35.400	-6.56	0.03
35.500	-6.56	0.03
35.600	-6.57	0.03
35.700	-6.58	0.03
35.800	-6.58	0.03
35.900	-6.59	0.04
36.000	-6.60	0.04
36.100	-6.60	0.04
36.200	-6.61	0.04
36.300	-6.61	0.04
36.400	-6.62	0.04
36.500	-6.62	0.05
36.600	-6.62	0.05
36.700	-6.63	0.05
36.800	-6.63	0.05
36.900	-6.63	0.05
37.000	-6.63	0.05
37.100	-6.63	0.05
37.200	-6.64	0.05
37.300	-6.63	0.05
37.400	-6.63	0.05
37.500	-6.63	0.05
37.600	-6.63	0.05
37.700	-6.63	0.05
37.800	-6.63	0.05
37.900	-6.62	0.04
38.000	-6.62	0.04
38.100	-6.61	0.04
38.200	-6.61	0.04
38.300	-6.60	0.04
38.400	-6.60	0.04
38.500	-6.59	0.04
38.600	-6.59	0.04
38.700	-6.58	0.04
38.800	-6.58	0.04
38.900	-6.57	0.04
39.000	-6.56	0.05
39.100	-6.56	0.05
39.200	-6.55	0.05
39.300	-6.55	0.05
39.400	-6.54	0.05
39.500	-6.54	0.05
39.600	-6.54	0.05
39.700	-6.53	0.05
39.800	-6.53	0.05
39.900	-6.52	0.05
40.000	-6.52	0.05
40.100	-6.52	0.05
40.200	-6.52	0.05
40.300	-6.51	0.05
40.400	-6.51	0.05
40.500	-6.51	0.05
40.600	-6.51	0.05
40.700	-6.51	0.05
40.800	-6.51	0.05
40.900	-6.51	0.05
41.000	-6.51	0.05
41.100	-6.51	0.05
41.200	-6.52	0.05
41.300	-6.52	0.05
41.400	-6.52	0.05
41.500	-6.52	0.05
41.600	-6.53	0.05
41.700	-6.53	0.05
41.800	-6.53	0.05
41.900	-6.54	0.05
42.000	-6.54	0.06
42.100	-6.54	0.06
42.200	-6.55	0.06
42.300	-6.55	0.06
42.400	-6.55	0.06
42.500	-6.55	0.06
42.600	-6.56	0.06
42.700	-6.56	0.06
42.800	-6.56	0.06
42.900	-6.56	0.06
43.000	-6.56	0.06
47.000	-6.52	0.06
47.100	-6.50	0.06
47.200	-6.48	0.07
47.300	-6.47	0.07
