lower,d13C
5.0,0.9491550422705314
5.25,0.8209745890168106
5.5,0.8063750106909243
5.75,0.8425782141651029
6.0,0.7802556495659563
6.25,0.8172305926904639
6.5,0.8153099657446652
6.75,0.8183530597049933
7.0,0.816516118798649
7.25,0.7958670193644476
7.5,0.7995564232322638
7.75,0.7917622195016075
8.0,0.7690211673072204
8.25,0.765886849712066
8.5,0.7631964864005962
8.75,0.7679907692112857
9.0,0.7167541155429323
9.25,0.7114726749058109
9.5,0.7140676464899406
9.75,0.6981555110218223
10.0,0.6795788487364909
10.25,0.6836256982882231
10.5,0.6963881268948618
10.75,0.6606025981996906
11.0,0.663664427590791
11.25,0.665711799248315
11.5,0.6457796275510982
11.75,0.6269795770137199
12.0,0.6034349733679881
12.25,0.586588530810363
12.5,0.5708994312959841
12.75,0.5464866889066599
13.0,0.5141705405336796
13.25,0.5078714580933528
13.5,0.49423529748702316
13.75,0.48431124645734236
14.0,0.47172140148931324
14.25,0.4470265629171965
14.5,0.4053510315484106
14.75,0.36784020456239974
15.0,0.343992095190517
15.25,0.3183731589552801
15.5,0.30255309240769407
15.75,0.2842382174972224
16.0,0.26834050737646997
16.25,0.2714056033809735
16.5,0.2901704862377976
16.75,0.2986523591996949
17.0,0.2926516947821412
17.25,0.2858174128779015
17.5,0.2860636971071201
17.75,0.2731166262690379
18.0,0.29013414573199353
18.25,0.3041415350061718
18.5,0.29495718873136834
18.75,0.2734135186404733
19.0,0.24668074744492832
19.25,0.26579634159931126
19.5,0.2865709660363425
19.75,0.2919031418265879
20.0,0.2959471075556145
20.25,0.3006739083770451
20.5,0.298053137245702
20.75,0.2865077211975419
21.0,0.2595497205087811
21.25,0.27489613506183347
21.5,0.2711050854851805
21.75,0.28448711790426234
22.0,0.30869935626468753
22.25,0.2928699366428529
22.5,0.2887022771189514
22.75,0.28379761730837894
23.0,0.29426029022378974
23.25,0.3053837165911365
23.5,0.2945854190747642
23.75,0.28981652079487913
24.0,0.28837699396608246
24.25,0.2923774704495763
24.5,0.3047564290812032
24.75,0.3038408253733684
25.0,0.3089253777583617
25.25,0.3075052895396483
25.5,0.3227028946566481
25.75,0.3382164699241335
26.0,0.3243095174385781
26.25,0.3405291932714377
26.5,0.3355407231070079
26.75,0.3292070397431438
27.0,0.37016020295669166
27.25,0.38433713643449546
27.5,0.3794157631560601
27.75,0.3726247299787312
28.0,0.37164855964893834
28.25,0.37194418511841015
28.5,0.3975499560697979
28.75,0.4173488254003813
29.0,0.41269746129797585
29.25,0.4236918552922856
29.5,0.352601922368091
29.75,0.23478442028985527
