lower,d13C
125.0,-0.12322388059701492
126.0,-0.13099378109452736
127.0,-0.09257027363184081
128.0,-0.14659564676616912
129.0,-0.14082453802416486
130.0,-0.1495600568585643
131.0,-0.16890431769722813
132.0,-0.1736453669154229
133.0,-0.19465985696517413
134.0,-0.21954639303482584
135.0,-0.2241914800995025
136.0,-0.2502292466240228
137.0,-0.2874224937343358
138.0,-0.37057146504320504
139.0,-0.3804518656716418
140.0,-0.31674315920398016
141.0,-0.33053370646766167
142.0,-0.3464503731343284
143.0,-0.3412798092868988
144.0,-0.3455515339966832
145.0,-0.3585461442786069
146.0,-0.34338223880597013
147.0,-0.3834537313432836
148.0,-0.5286600331674959
149.0,-0.17395522388059703
