lower,d13C
5.0,0.8276165626677403
5.5,0.8181175384112456
6.0,0.8005869401247817
6.5,0.8081411372912226
7.0,0.7946157311296423
7.5,0.8002083470360232
8.0,0.7799146753062431
8.5,0.7809753206746043
9.0,0.7145056551175372
9.5,0.7161535269369314
10.0,0.6854251285083272
10.5,0.6946238805939136
11.0,0.6604865635678466
11.5,0.6392750885570511
12.0,0.6014978321708273
12.5,0.5533647170948385
13.0,0.5135270409222935
13.5,0.48809768244752055
14.0,0.4569666515161685
14.5,0.38692665084933847
15.0,0.33760197934399616
15.5,0.30367224359432343
16.0,0.27121748691850667
16.5,0.31076573202435814
17.0,0.2872868109495526
17.5,0.2732226818612337
18.0,0.29979595566444117
18.5,0.2930759338218635
19.0,0.24367423934376092
19.5,0.2884667227992385
20.0,0.2975777929043871
20.5,0.2977023746284203
21.0,0.2601438255709391
21.5,0.2604531571981031
22.0,0.3053766123757167
22.5,0.2877655640405178
23.0,0.30164510426735214
23.5,0.29515441412217686
24.0,0.2898169647977262
24.5,0.31000548771393804
25.0,0.3078884666558245
25.5,0.3322508732458221
26.0,0.33034065339964286
26.5,0.3314353783436413
27.0,0.37536759916669576
27.5,0.3817435289218386
28.0,0.3698029193143414
28.5,0.4066482757793499
29.0,0.4117544448757764
29.5,0.3394413996329759
