lower,d13C
125.0,0.4032003226902174
125.25,0.29676271467391296
125.5,0.36084753339741693
125.75,0.40519996372308675
126.0,0.4663652022403164
126.25,0.4688188817230437
126.5,0.4469193161616285
126.75,0.44009280246835164
127.0,0.4112402575896313
127.25,0.4134673445758682
127.5,0.40897002649108577
127.75,0.39959895084132313
128.0,0.44880596777355913
128.25,0.44520536457141313
128.5,0.4324796156226909
128.75,0.40871198028401967
129.0,0.4352807005234865
129.25,0.41585467129062575
129.5,0.39297664323344617
129.75,0.3710980244706782
130.0,0.34938202705982235
130.25,0.33791522481317376
130.5,0.3271275037066351
130.75,0.3401634658352093
131.0,0.3416530533340214
131.25,0.3323980715490129
131.5,0.32998631708552884
131.75,0.3186246658388224
132.0,0.3157965961656765
132.25,0.2998574421639809
132.5,0.2770681589321512
132.75,0.2543354160945589
133.0,0.24309800434717863
133.25,0.3248222419733229
133.5,0.3220275348441274
133.75,0.316228766838039
134.0,0.3044028048081497
134.25,0.2889073531283622
134.5,0.2821365403750115
134.75,0.2577349007063149
135.0,0.24491505223055657
135.25,0.23460881616247953
135.5,0.22470803276115095
135.75,0.21251961994414947
136.0,0.15666878058428668
136.25,0.17598262825087346
136.5,0.17735758522657846
136.75,0.1527227544597538
137.0,0.15526891418360778
137.25,0.13978230727546265
137.5,0.1508425062170913
137.75,0.13255245222300455
138.0,0.10279133140933257
138.25,0.10773959217840645
138.5,0.10525401712549229
138.75,0.07536022920158383
139.0,0.07103396489976399
139.25,0.07352360727481602
139.5,0.08748946828244987
139.75,0.09830114447093827
140.0,0.09557278159136368
140.25,0.06602445663320387
140.5,0.027802465769524914
140.75,0.028817946974839744
141.0,0.026889017518352615
141.25,0.027359863461776972
141.5,0.019451741477434885
141.75,0.00579138983868922
142.0,0.00032805005909758076
142.25,0.005193846994832729
142.5,0.0027353345063145943
142.75,-0.0011465967097825912
143.0,-0.0131858483001806
143.25,-0.02803162986422811
143.5,-0.04634975782654913
143.75,-0.06019460092156356
144.0,-0.06534746992786473
144.25,-0.08269117828101279
144.5,-0.09246977645406555
144.75,-0.1010139634666202
145.0,-0.10968900957866756
145.25,-0.09633911221799056
145.5,-0.10909708990539285
145.75,-0.11765457933882471
146.0,-0.1295127646544742
146.25,-0.14716331108917763
146.5,-0.13528942606896133
146.75,-0.13258509012020023
147.0,-0.15187444675237793
147.25,-0.13752734415750395
147.5,-0.12056325471780638
147.75,-0.12792700193765075
148.0,-0.16044683084006325
148.25,-0.24955945877559108
148.5,-0.2876355794660754
148.75,-0.3288812474719574
149.0,-0.42931700535776623
149.25,-0.08054176141223243
149.5,-0.020210742571136628
149.75,-0.026399456521739174
